Variable,DF,Estimate,LowerCL,UpperCL,ZStat,ProbZStat,Model,zlabel,SoftVer,SrcData
Age_70_74,1,0.140906345244,0.044351804647,0.237460885841,2.860262812739,0.004232900577,Gee,70 <= Age <= 74,v2024,"HCUP 2019, 2020, 2021"
Age_75_79,1,0.345167563176,0.254363816991,0.435971309361,7.450309275523,0.000000000000,Gee,75 <= Age <= 79,v2024,"HCUP 2019, 2020, 2021"
Age_80_84,1,0.407773903761,0.308281473341,0.507266334180,8.032994689478,0.000000000000,Gee,80 <= Age <= 84,v2024,"HCUP 2019, 2020, 2021"
Age_85_89,1,0.547561238213,0.447747362312,0.647375114115,10.752015153523,0.000000000000,Gee,85 <= Age <= 89,v2024,"HCUP 2019, 2020, 2021"
Age_90Plus,1,0.869265503592,0.773624252828,0.964906754356,17.813747378142,0.000000000000,Gee,Age >= 90,v2024,"HCUP 2019, 2020, 2021"
MALE,1,0.416925331313,0.349619584349,0.484231078276,12.140993458686,0.000000000000,Gee,Patient Sex Flag: 1=Male / 0=Female,v2024,"HCUP 2019, 2020, 2021"
Age_80_84_MALE,1,0.061549095226,-0.039076879162,0.162175069613,1.198835694834,0.230591840030,Gee,80 <= Age <= 84 MALE,v2024,"HCUP 2019, 2020, 2021"
Age_85_89_MALE,1,0.118529474462,0.023524187121,0.213534761802,2.445269179795,0.014474406627,Gee,85 <= Age <= 89 MALE,v2024,"HCUP 2019, 2020, 2021"
Age_90Plus_MALE,1,0.023444412989,-0.064492176837,0.111381002815,0.522537946807,0.601295832802,Gee,Age >= 90 MALE,v2024,"HCUP 2019, 2020, 2021"
MDC_8,1,-0.696166826472,-0.787430258241,-0.604903394704,-14.95080648053,0.000000000000,Gee,Diseases and disorders of the musculoskeletal system and connective tissue,v2024,"HCUP 2019, 2020, 2021"
d_DXCCSR_BLD001,1,-0.170651067112,-0.236917750739,-0.104384383485,-5.047331889213,0.000000448023,Gee,Nutritional anemia,v2024,"HCUP 2019, 2020, 2021"
d_DXCCSR_BLD003,1,0.091734154169,0.050421199617,0.133047108720,4.352040183863,0.000013487653,Gee,Aplastic anemia,v2024,"HCUP 2019, 2020, 2021"
d_DXCCSR_BLD004,1,-0.252578908478,-0.325397284582,-0.179760532374,-6.798360391413,0.000000000011,Gee,Acute posthemorrhagic anemia,v2024,"HCUP 2019, 2020, 2021"
d_DXCCSR_BLD006,1,0.163980450309,0.107828879539,0.220132021080,5.723718363793,0.000000010422,Gee,Coagulation and hemorrhagic disorders,v2024,"HCUP 2019, 2020, 2021"
d_DXCCSR_BLD007,1,-0.257493516107,-0.329222874950,-0.185764157265,-7.035864058570,0.000000000002,Gee,Diseases of white blood cells,v2024,"HCUP 2019, 2020, 2021"
d_DXCCSR_CIR001,1,0.089391469902,0.017537887390,0.161245052414,2.438348310657,0.014754549635,Gee,Chronic rheumatic heart disease,v2024,"HCUP 2019, 2020, 2021"
d_DXCCSR_CIR005,1,0.145631866866,0.085782249367,0.205481484364,4.769173571828,0.000001849832,Gee,Myocarditis and cardiomyopathy,v2024,"HCUP 2019, 2020, 2021"
d_DXCCSR_CIR007,1,-0.248732583340,-0.296744530721,-0.200720635960,-10.15386652136,0.000000000000,Gee,Essential hypertension,v2024,"HCUP 2019, 2020, 2021"
d_DXCCSR_CIR009,1,0.644299079408,0.546891489880,0.741706668936,12.964112930341,0.000000000000,Gee,Acute myocardial infarction,v2024,"HCUP 2019, 2020, 2021"
d_DXCCSR_CIR011,1,0.278887457636,0.238948893870,0.318826021403,13.686255116799,0.000000000000,Gee,Coronary atherosclerosis and other heart disease,v2024,"HCUP 2019, 2020, 2021"
d_DXCCSR_CIR014,1,0.297534926070,0.238290473696,0.356779378444,9.843246344119,0.000000000000,Gee,Pulmonary heart disease,v2024,"HCUP 2019, 2020, 2021"
d_DXCCSR_CIR017,1,0.307979989472,0.270366794869,0.345593184075,16.048349354354,0.000000000000,Gee,Cardiac dysrhythmias,v2024,"HCUP 2019, 2020, 2021"
d_DXCCSR_CIR019,1,0.556752421575,0.510406915626,0.603097927525,23.545210527813,0.000000000000,Gee,Heart failure,v2024,"HCUP 2019, 2020, 2021"
d_DXCCSR_CIR026,1,0.136462702035,0.074600831773,0.198324572296,4.323535322939,0.000015354854,Gee,Peripheral and visceral vascular disease,v2024,"HCUP 2019, 2020, 2021"
d_DXCCSR_CIR031,1,0.272157543511,0.198767105076,0.345547981946,7.268235410232,0.000000000000,Gee,Hypotension,v2024,"HCUP 2019, 2020, 2021"
d_DXCCSR_CIR032,1,0.144718084166,0.059176024022,0.230260144309,3.315821858860,0.000913740543,Gee,Other specified and unspecified circulatory disease,v2024,"HCUP 2019, 2020, 2021"
