VARIABLE,DF,Estimate,STDERR,WALDCHISQ,ProbChiSq,LABEL,SoftwareVersion,SrcData
Intercept,1,-6.829134859238,0.020126367821,115133.19782998,0.000000000000,Intercept,v2024,HCUP 2021
FEMALE,1,0.688170873654,0.020038948646,1179.3499971669,0.000000000000,Female,v2024,HCUP 2021
AGECAT1,1,-3.885628770114,0.049264151888,6221.0055829035,0.000000000000,Age 18-24,v2024,HCUP 2021
AGECAT2,1,-2.728143159765,0.034838380861,6132.2293185852,0.000000000000,Age 25-29,v2024,HCUP 2021
AGECAT3,1,-2.007884292349,0.027235883392,5434.9359741848,0.000000000000,Age 30-34,v2024,HCUP 2021
AGECAT4,1,-1.506213216465,0.024192002836,3876.4060138520,0.000000000000,Age 35-39,v2024,HCUP 2021
AGECAT5,1,-1.152309139076,0.022738279200,2568.1644092203,0.000000000000,Age 40-44,v2024,HCUP 2021
AGECAT6,1,-0.894271131079,0.021959574602,1658.4049164039,0.000000000000,Age 45-49,v2024,HCUP 2021
AGECAT7,1,-0.798311232362,0.021425178031,1388.3392475648,0.000000000000,Age 50-54,v2024,HCUP 2021
AGECAT8,1,-0.705174308500,0.021057784942,1121.4181753377,0.000000000000,Age 55-59,v2024,HCUP 2021
AGECAT9,1,-0.718605567896,0.021186439630,1150.4432385673,0.000000000000,Age 60-64,v2024,HCUP 2021
AGECAT10,1,-0.755285285705,0.021885884044,1190.9509086025,0.000000000000,Age 65-69,v2024,HCUP 2021
AGECAT11,1,-0.718147832253,0.022570971780,1012.3418531517,0.000000000000,Age 70-74,v2024,HCUP 2021
AGECAT12,1,-0.513948512980,0.023850191829,464.36071879363,0.000000000000,Age 75-79,v2024,HCUP 2021
AGECAT13,1,-0.261783810677,0.025333323702,106.78278060826,0.000000000000,Age 80-84,v2024,HCUP 2021
FAGECAT1,1,-0.611766482037,0.067472283496,82.209222483538,0.000000000000,"Female,Age 18-24",v2024,HCUP 2021
FAGECAT2,1,-0.656836808730,0.046933453721,195.86188802323,0.000000000000,"Female,Age 25-29",v2024,HCUP 2021
FAGECAT3,1,-0.791624425534,0.036285828115,475.95324676479,0.000000000000,"Female,Age 30-34",v2024,HCUP 2021
FAGECAT4,1,-0.865749042345,0.031724826491,744.70715857743,0.000000000000,"Female,Age 35-39",v2024,HCUP 2021
FAGECAT5,1,-0.911409983776,0.029378355522,962.43763885472,0.000000000000,"Female,Age 40-44",v2024,HCUP 2021
FAGECAT6,1,-0.905283628548,0.027941539629,1049.7083874659,0.000000000000,"Female,Age 45-49",v2024,HCUP 2021
FAGECAT7,1,-0.946875967456,0.027135274452,1217.6367600981,0.000000000000,"Female,Age 50-54",v2024,HCUP 2021
FAGECAT8,1,-0.957558206302,0.026420649863,1313.5402156612,0.000000000000,"Female,Age 55-59",v2024,HCUP 2021
FAGECAT9,1,-0.807874797153,0.026123747867,956.35063974217,0.000000000000,"Female,Age 60-64",v2024,HCUP 2021
FAGECAT10,1,-0.562589328182,0.026463192432,451.95844916244,0.000000000000,"Female,Age 65-69",v2024,HCUP 2021
FAGECAT11,1,-0.353037039298,0.026847767115,172.91162834319,0.000000000000,"Female,Age 70-74",v2024,HCUP 2021
FAGECAT12,1,-0.198334284040,0.028037230694,50.040928046427,0.000000000002,"Female,Age 75-79",v2024,HCUP 2021
FAGECAT13,1,-0.057314109258,0.029333056533,3.817758528570,0.050712036073,"Female,Age 80-84",v2024,HCUP 2021
POVCAT2,1,-0.054137667433,0.014368762312,14.195815893508,0.000164736414,"County decile 2,  7.4 < percent in poverty <= 9.4",v2024,HCUP 2021
POVCAT3,1,0.012329743749,0.014027425516,0.772595472339,0.379415317903,"County decile 3,  9.4 < percent in poverty <= 10.5",v2024,HCUP 2021
POVCAT4,1,0.098349574416,0.013814266456,50.686150952517,0.000000000001,"County decile 4, 10.5 < percent in poverty <= 11.6",v2024,HCUP 2021
POVCAT5,1,0.377790989459,0.012840643918,865.62459086117,0.000000000000,"County decile 5, 11.6 < percent in poverty <= 12.9",v2024,HCUP 2021
POVCAT6,1,0.390471764742,0.012938605169,910.76084204813,0.000000000000,"County decile 6, 12.9 < percent in poverty <= 14.4",v2024,HCUP 2021
POVCAT7,1,0.411005593739,0.012849085281,1023.1776430361,0.000000000000,"County decile 7, 14.4 < percent in poverty <= 15.7",v2024,HCUP 2021
POVCAT8,1,0.614644959075,0.012675973883,2351.1805309610,0.000000000000,"County decile 8, 15.7 < percent in poverty <= 16.9",v2024,HCUP 2021
POVCAT9,1,0.558570662102,0.012689355992,1937.6577962169,0.000000000000,"County decile 9, 16.9 < percent in poverty <= 20.1",v2024,HCUP 2021
POVCAT10,1,0.791484648254,0.012183322647,4220.3988885320,0.000000000000,"County decile 10,20.1 < percent in poverty <= 43.5",v2024,HCUP 2021
